"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","194,46","608","+2","130","","46",""
"Stormarn","OD","178,58","433","","50","","34",""
"Segeberg","SE","127,36","349","+4","43","+1","7",""
"Kiel","KI","120,19","298","+1","66","","10",""
"Herzogtum Lauenburg","RZ","137,19","269","","47","","17",""
"Rendsburg-Eckernförde","RD","94,50","258","","46","","14",""
"Steinburg","IZ","143,60","189","","24","","3",""
"Lübeck","HL","81,82","177","","9","","1",""
"Schleswig-Flensburg","SL","80,70","161","+1","18","","4",""
"Plön","PLO","93,91","121","","27","","8",""
"Nordfriesland","NF","54,39","90","","14","","1",""
"Neumünster","NMS","98,32","78","","9","","2",""
"Dithmarschen","HEI","57,70","77","","17","","4",""
"Ostholstein","OH","36,39","73","","7","","0",""
"Flensburg","FL","54,23","48","","6","","3",""
"-"
"Schleswig-Holstein","SH","111,74","3.229","+8","513","+1","154",""

"Datenstand 14.07.2020 21:29:20"
