"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","12","21","3","0"
"05-09","23","26","2","0"
"10-14","33","29","3","0"
"15-19","67","53","4","0"
"20-24","125","100","4","0"
"25-29","145","128","14","0"
"30-34","120","126","15","0"
"35-39","127","97","6","0"
"40-44","117","107","11","0"
"45-49","118","128","21","3"
"50-54","185","169","24","0"
"55-59","182","196","46","6"
"60-64","107","103","42","7"
"65-69","76","80","48","9"
"70-74","68","67","48","18"
"75-79","97","78","84","26"
"80-84","101","92","99","36"
"85-89","65","35","47","26"
"90+","71","18","25","25"

"Datenstand 03.08.2020 19:28:25"
